x1,p1 ,choice,y1 ,q1
12,0.4,Y,5,1
6,0.44,X,9,0.17
1,1,X,20,0.02
3,1,X,10,0.3
15,1,X,16,0.98
1,1,X,17,0.04
5,0.9,Y,4,1
11,1,X,15,0.7
18,0.09,Y,12,0.64
20,0.06,Y,3,0.6
12,0.87,Y,19,0.86
8,0.02,Y,4,0.29
2,1,X,15,0.1
1,1,Y,2,0.97
10,0.31,Y,6,0.74
1,1,X,12,0.05
15,0.07,Y,1,1
18,0.5,Y,9,1
2,0.79,Y,15,0.44
3,0.69,Y,18,0.44
14,0.23,Y,9,0.65
19,0.17,Y,5,0.47
6,0.78,X,8,0.31
15,0.5,Y,17,0.48
11,0.49,X,18,0.09
15,0.85,X,16,0.33
18,0.14,Y,1,0.6
18,0.08,Y,14,0.42
15,0.27,X,16,0.2
14,0.33,Y,3,0.91
6,0.95,Y,5,1
2,0.89,Y,6,0.72
17,0.09,Y,2,1
8,0.16,Y,9,0.15
19,0.76,X,4,0.94
2,0.96,Y,7,0.8
13,0.64,X,15,0.5
12,0.33,Y,6,0.87
19,0.32,Y,12,0.66
5,0.5,Y,9,0.44
2,0.56,Y,8,0.23
14,0.74,Y,18,0.69
10,0.6,Y,6,1
7,0.96,Y,6,1
4,1,X,5,0.91
1,0.68,Y,16,0.12
9,0.86,X,10,0.07
5,0.25,X,19,0.07
17,0.01,Y,1,1
8,0.69,Y,17,0.63
7,0.36,X,4,0.54
15,0.15,X,2,0.43
11,0.17,Y,10,0.86
18,0.39,X,19,0.36
16,0.45,Y,15,0.78
5,0.58,X,10,0.02
18,0.03,Y,1,1
16,0.46,X,9,0.63
17,0.81,X,18,0.4
4,0.99,X,3,1
17,0.5,Y,11,0.9
4,0.5,Y,16,0.46
1,1,X,15,0.06
19,0.81,Y,20,0.8
8,0.51,Y,15,0.46
10,0.92,Y,9,1
16,0.93,Y,15,1
17,0.55,Y,15,0.93
13,0.9,Y,18,0.79
16,0.08,Y,1,1
16,0.52,Y,15,0.56
2,0.9,Y,11,0.32
13,0.61,X,19,0.37
10,1,X,11,0.94
11,0.97,X,12,0.51
